Version="2.0"
numberBins=-1
binSize=10000
cirKey,startRecNo,endRecNo,min,max
current:vio_1v8:tl,350000,359999,-1010.0,477.0
power:vio_1v8:tl,350000,359999,-1.0,2.0
current:3.3v:tl,350000,359999,-561.0,462.0
voltage:3.3v:tl,350000,359999,22.0,29.0
power:tot:tl,350000,359999,-15.0,12.0
power:3.3v:tl,350000,359999,-15.0,11.0
voltage:vio_1v8:tl,360000,369999,-5.0,0.0
current:vio_1v8:tl,360000,369999,-987.0,500.0
power:vio_1v8:tl,360000,369999,-1.0,2.0
current:3.3v:tl,360000,369999,-541.0,478.0
voltage:3.3v:tl,360000,369999,23.0,29.0
power:tot:tl,360000,369999,-15.0,12.0
power:3.3v:tl,360000,369999,-15.0,12.0
voltage:vio_1v8:tl,370000,379999,-5.0,0.0
current:vio_1v8:tl,370000,379999,-990.0,520.0
power:vio_1v8:tl,370000,379999,-1.0,2.0
current:3.3v:tl,370000,379999,-551.0,458.0
voltage:3.3v:tl,370000,379999,24.0,29.0
power:tot:tl,370000,379999,-15.0,12.0
power:3.3v:tl,370000,379999,-15.0,11.0
voltage:vio_1v8:tl,380000,389999,-5.0,0.0
current:vio_1v8:tl,380000,389999,-943.0,509.0
power:vio_1v8:tl,380000,389999,-1.0,2.0
current:3.3v:tl,380000,389999,-557.0,462.0
voltage:3.3v:tl,380000,389999,24.0,31.0
power:tot:tl,380000,389999,-16.0,12.0
power:3.3v:tl,380000,389999,-16.0,11.0
voltage:vio_1v8:tl,390000,399999,-5.0,0.0
current:vio_1v8:tl,390000,399999,-1031.0,500.0
power:vio_1v8:tl,390000,399999,-1.0,3.0
current:3.3v:tl,390000,399999,-574.0,462.0
voltage:3.3v:tl,390000,399999,24.0,32.0
power:tot:tl,390000,399999,-15.0,13.0
power:3.3v:tl,390000,399999,-16.0,13.0
voltage:vio_1v8:tl,400000,409999,-5.0,0.0
current:vio_1v8:tl,400000,409999,-946.0,504.0
power:vio_1v8:tl,400000,409999,-1.0,2.0
