"Time mS","Rate Flow mL/s","Total Volume L"
165684,47.05555555555556,0.137214
165702,47.05555555555556,0.138061
165721,44.578947368421055,0.138908
165739,47.05555555555556,0.139755
165757,47.05555555555556,0.140602
165775,47.05555555555556,0.141449
165793,47.05555555555556,0.142296
165811,47.05555555555556,0.143143
165829,47.05555555555556,0.14399
165847,47.05555555555556,0.144837
165865,47.05555555555556,0.145684
165883,47.05555555555556,0.146531
165901,47.05555555555556,0.147378
165919,47.05555555555556,0.148225
165937,47.05555555555556,0.149072
165955,47.05555555555556,0.149919
165973,47.05555555555556,0.150766
165991,47.05555555555556,0.151613
166008,49.8235294117647,0.15245999999999998
166026,47.05555555555556,0.153307
166045,44.578947368421055,0.15415399999999999
166062,49.8235294117647,0.155001
166080,47.05555555555556,0.155848
166099,44.578947368421055,0.156695
166116,49.8235294117647,0.157542
166134,47.05555555555556,0.158389
166152,47.05555555555556,0.159236
166170,47.05555555555556,0.160083
166188,47.05555555555556,0.16093
166207,44.578947368421055,0.161777
166223,52.9375,0.162624
166241,47.05555555555556,0.163471
166259,47.05555555555556,0.164318
166276,49.8235294117647,0.165165
